Team,Pos,Player,Team,Eligible,R,HR,RBI,SBN,AVG,TB+BB+HBP,IP,NW,K,SV,ERA,WHIP
DARKROOM SAFETY GROUP,OF,Isiah Kiner-Falefa,NYY,"3B,SS,OF",4,0,2,3,0.189,13,,,,,,
DARKROOM SAFETY GROUP,OF,Randy Arozarena,TB,OF,21,7,28,1,0.327,76,,,,,,
DARKROOM SAFETY GROUP,OF,Kyle Isbel,KC,OF,6,0,6,1,0.188,29,,,,,,
DARKROOM SAFETY GROUP,OF,Hunter Renfroe,LAA,OF,20,7,20,0,0.259,67,,,,,,
DARKROOM SAFETY GROUP,OF,Kyle Tucker,HOU,OF,11,5,20,5,0.277,65,,,,,,
DARKROOM SAFETY GROUP,UT,Brad Miller,TEX,"1B,3B",5,1,5,0,0.179,17,,,,,,
DARKROOM SAFETY GROUP,UT,Franmil Reyes,KC,OF,5,2,7,0,0.186,21,,,,,,
DARKROOM SAFETY GROUP,C,Sam Huff,TEX,C,0,0,0,0,0,0,,,,,,
DARKROOM SAFETY GROUP,C,Tyler Soderstrom,OAK,"C,1B",0,0,0,0,0,0,,,,,,
DARKROOM SAFETY GROUP,C,Max Stassi,LAA,C,0,0,0,0,0,0,,,,,,
DARKROOM SAFETY GROUP,OF,Bubba Thompson,TEX,OF,6,0,3,0,0.2,14,,,,,,
HELL TOUPEES,C,Christian Bethancourt,TB,C,12,5,11,0,0.25,39,,,,,,
HELL TOUPEES,C,Salvador Perez,KC,C,9,3,13,0,0.267,49,,,,,,
HELL TOUPEES,1B,Vladimir Guerrero Jr.,TOR,1B,20,5,15,2,0.304,72,,,,,,
HELL TOUPEES,2B,Christian Arroyo,BOS,"1B,2B,SS",9,0,8,1,0.246,24,,,,,,
HELL TOUPEES,3B,Rafael Devers,BOS,3B,20,10,27,0,0.235,74,,,,,,
HELL TOUPEES,SS,Javier Baez,DET,SS,9,0,11,2,0.233,33,,,,,,
HELL TOUPEES,CI,Justin Turner,BOS,"1B,3B",13,2,10,1,0.259,58,,,,,,
HELL TOUPEES,MI,Anthony Volpe,NYY,SS,11,2,8,8,0.219,48,,,,,,
HELL TOUPEES,OF,Luis Rengifo,LAA,"2B,SS,OF",12,1,9,1,0.2,32,,,,,,
HELL TOUPEES,OF,Willie Calhoun,NYY,OF,2,0,3,0,0.22,12,,,,,,
HELL TOUPEES,OF,Max Kepler,MIN,OF,11,3,8,-1,0.242,36,,,,,,
HELL TOUPEES,OF,Brent Rooker,OAK,OF,14,9,22,0,0.353,69,,,,,,
HELL TOUPEES,OF,Taylor Trammell,SEA,OF,1,1,4,-1,0.25,5,,,,,,
HELL TOUPEES,UT,Jake Burger,CHW,3B,11,7,14,0,0.242,50,,,,,,
HELL TOUPEES,UT,Jace Peterson,OAK,"2B,3B",9,1,8,2,0.2,34,,,,,,
HELL TOUPEES,2B,Jonathan Aranda,TB,2B,0,0,0,0,0,0,,,,,,
HELL TOUPEES,3B,Kevin Smith,OAK,"3B,SS",6,2,6,1,0.197,20,,,,,,
HELL TOUPEES,OF,Michael Brantley,HOU,OF,0,0,0,0,0,0,,,,,,
HELL TOUPEES,OF,Aledmys Diaz,OAK,"2B,3B,SS,OF",7,1,6,1,0.153,26,,,,,,
HELL TOUPEES,OF,Seth Brown,OAK,"1B,OF",2,1,2,1,0.2,13,,,,,,
KINGSTA'S QUARRY,C,Jonah Heim,TEX,C,16,5,22,0,0.303,56,,,,,,
KINGSTA'S QUARRY,C,James McCann,BAL,C,4,2,4,0,0.194,13,,,,,,
KINGSTA'S QUARRY,1B,Josh Bell,CLE,1B,7,3,13,-1,0.202,56,,,,,,
KINGSTA'S QUARRY,2B,Whit Merrifield,TOR,"2B,OF",10,0,10,3,0.316,42,,,,,,
KINGSTA'S QUARRY,3B,DJ LeMahieu,NYY,"1B,3B",13,3,12,-1,0.261,51,,,,,,
KINGSTA'S QUARRY,SS,Gunnar Henderson,BAL,"3B,SS",15,2,4,0,0.189,41,,,,,,
KINGSTA'S QUARRY,CI,Nick Pratto,KC,"1B,OF",0,0,2,-1,0.368,8,,,,,,
KINGSTA'S QUARRY,MI,J.P. Crawford,SEA,SS,14,1,9,1,0.238,48,,,,,,
KINGSTA'S QUARRY,OF,Adolis Garcia,TEX,OF,24,8,30,1,0.267,66,,,,,,
KINGSTA'S QUARRY,OF,Eloy Jimenez,CHW,OF,8,2,9,0,0.225,36,,,,,,
KINGSTA'S QUARRY,OF,Steven Kwan,CLE,OF,15,0,11,6,0.278,55,,,,,,
KINGSTA'S QUARRY,OF,Josh Lowe,TB,OF,17,5,18,5,0.342,55,,,,,,
KINGSTA'S QUARRY,OF,Cedric Mullins,BAL,OF,13,3,21,11,0.255,59,,,,,,
KINGSTA'S QUARRY,UT,Andrew Benintendi,CHW,OF,14,0,5,4,0.281,40,,,,,,
KINGSTA'S QUARRY,UT,Corey Julks,HOU,OF,11,2,9,0,0.295,34,,,,,,
KINGSTA'S QUARRY,2B,Jonathan Schoop,DET,"2B,3B",3,0,0,0,0.217,17,,,,,,
KINGSTA'S QUARRY,3B,Jordan Diaz,OAK,"2B,3B",3,1,4,0,0.242,12,,,,,,
KINGSTA'S QUARRY,OF,Jo Adell,LAA,OF,0,0,0,0,0,0,,,,,,
KINGSTA'S QUARRY,OF,Akil Baddoo,DET,OF,7,0,1,2,0.222,24,,,,,,
KINGSTA'S QUARRY,OF,Manuel Margot,TB,OF,9,2,8,2,0.24,33,,,,,,
L-TRAIN,C,Shea Langeliers,OAK,C,13,6,16,0,0.222,50,,,,,,
L-TRAIN,C,Reese McGuire,BOS,C,4,0,6,0,0.327,22,,,,,,
L-TRAIN,1B,Triston Casas,BOS,1B,14,3,8,0,0.128,39,,,,,,
L-TRAIN,2B,Andres Gimenez,CLE,2B,21,2,6,5,0.243,50,,,,,,
L-TRAIN,3B,Ezequiel Duran,TEX,"2B,3B,SS,OF",6,2,12,0,0.302,31,,,,,,
L-TRAIN,SS,Wander Franco,TB,SS,17,5,17,3,0.3,71,,,,,,
L-TRAIN,CI,Anthony Rendon,LAA,3B,12,0,12,2,0.246,35,,,,,,
L-TRAIN,MI,David Hensley,HOU,2B,8,0,2,1,0.143,16,,,,,,
L-TRAIN,OF,Austin Hays,BAL,OF,17,4,11,1,0.312,58,,,,,,
L-TRAIN,OF,Kevin Kiermaier,TOR,OF,10,1,8,1,0.263,36,,,,,,
L-TRAIN,OF,Julio Rodriguez,SEA,OF,18,5,13,2,0.239,60,,,,,,
L-TRAIN,OF,George Springer,TOR,OF,14,3,10,4,0.225,44,,,,,,
L-TRAIN,OF,Daulton Varsho,TOR,OF,13,2,6,5,0.186,44,,,,,,
L-TRAIN,UT,Yainer Diaz,HOU,C,5,0,2,0,0.214,11,,,,,,
L-TRAIN,UT,Michael A. Taylor,MIN,OF,11,4,11,3,0.244,42,,,,,,
L-TRAIN,1B,Kyle Manzardo,TB,1B,0,0,0,0,0,0,,,,,,
L-TRAIN,3B,Justyn-Henry Malloy,DET,3B,0,0,0,0,0,0,,,,,,
L-TRAIN,3B,Yoan Moncada,CHW,3B,4,2,5,0,0.308,23,,,,,,
L-TRAIN,3B,Josh Smith,TEX,"3B,SS,OF",9,1,1,0,0.143,25,,,,,,
L-TRAIN,SS,Kyle Farmer,MIN,"2B,3B,SS",6,1,5,0,0.226,14,,,,,,
L-TRAIN,OF,Harrison Bader,NYY,OF,0,0,0,0,0,0,,,,,,
MAD MANTAS,C,Eric Haase,DET,"C,OF",3,0,5,0,0.25,25,,,,,,
MAD MANTAS,C,Cal Raleigh,SEA,C,14,5,18,0,0.233,52,,,,,,
MAD MANTAS,1B,Jose Miranda,MIN,"1B,3B",11,3,12,0,0.243,48,,,,,,
MAD MANTAS,2B,Zach McKinstry,DET,"2B,3B,OF",8,2,4,3,0.271,31,,,,,,
MAD MANTAS,3B,Isaac Paredes,TB,"1B,3B",17,4,19,0,0.269,51,,,,,,
MAD MANTAS,SS,Amed Rosario,CLE,SS,13,1,6,5,0.228,38,,,,,,
MAD MANTAS,CI,Jesus Aguilar,OAK,1B,7,5,9,0,0.27,43,,,,,,
MAD MANTAS,MI,Oswald Peraza,NYY,"2B,3B,SS",4,0,3,0,0.188,13,,,,,,
MAD MANTAS,OF,Oswaldo Cabrera,NYY,OF,8,1,7,4,0.193,28,,,,,,
MAD MANTAS,OF,"Luis Robert, Jr.",CHW,OF,14,5,13,1,0.213,50,,,,,,
MAD MANTAS,OF,Gavin Sheets,CHW,"1B,OF",5,2,8,0,0.277,25,,,,,,
MAD MANTAS,OF,Mike Trout,LAA,OF,20,7,18,0,0.308,79,,,,,,
MAD MANTAS,OF,Masataka Yoshida,BOS,OF,16,4,17,2,0.286,57,,,,,,
MAD MANTAS,UT,Elvis Andrus,CHW,"2B,SS",9,0,9,3,0.206,35,,,,,,
MAD MANTAS,UT,Conner Capel,OAK,OF,4,0,3,1,0.266,30,,,,,,
MAD MANTAS,1B,Jake Bauers,NYY,1B,0,0,0,0,0,0,,,,,,
MAD MANTAS,1B,Jared Walsh,LAA,1B,0,0,0,0,0,0,,,,,,
MAD MANTAS,UT,Santiago Espinal,TOR,"2B,3B",6,1,7,0,0.186,15,,,,,,
MAD MANTAS,SS,Royce Lewis,MIN,SS,0,0,0,0,0,0,,,,,,
MAD MANTAS,OF,Rob Refsnyder,BOS,OF,7,1,8,0,0.196,23,,,,,,
MAD MANTAS,OF,Giancarlo Stanton,NYY,OF,7,4,11,0,0.269,31,,,,,,
MAD MANTAS,OF,Drew Waters,KC,OF,0,0,0,0,0,0,,,,,,
MAD MANTAS,2B,Jose Altuve,HOU,2B,0,0,0,0,0,0,,,,,,
MASS STATE BENINTENDIARY,C,Ryan Jeffers,MIN,C,6,1,3,0,0.27,22,,,,,,
MASS STATE BENINTENDIARY,C,Carlos Perez,OAK,C,5,1,5,0,0.333,21,,,,,,
MASS STATE BENINTENDIARY,1B,Ryan Mountcastle,BAL,1B,17,6,21,2,0.244,57,,,,,,
MASS STATE BENINTENDIARY,2B,Marcus Semien,TEX,2B,25,5,23,3,0.268,65,,,,,,
MASS STATE BENINTENDIARY,3B,Nick Maton,DET,"2B,3B,SS,OF",10,4,13,0,0.171,42,,,,,,
MASS STATE BENINTENDIARY,SS,Bobby Witt Jr.,KC,"3B,SS",17,4,10,6,0.222,53,,,,,,
MASS STATE BENINTENDIARY,CI,Nathaniel Lowe,TEX,1B,20,4,19,0,0.257,64,,,,,,
MASS STATE BENINTENDIARY,MI,Matt Duffy,KC,"2B,3B",4,1,4,0,0.357,24,,,,,,
MASS STATE BENINTENDIARY,OF,Hunter Dozier,KC,"1B,3B,OF",6,1,5,2,0.161,18,,,,,,
MASS STATE BENINTENDIARY,OF,Byron Buxton,MIN,OF,19,7,17,0,0.258,64,,,,,,
MASS STATE BENINTENDIARY,OF,Joey Gallo,MIN,"1B,OF",12,7,14,0,0.236,49,,,,,,
MASS STATE BENINTENDIARY,OF,Oscar Gonzalez,CLE,OF,5,1,4,0,0.174,21,,,,,,
MASS STATE BENINTENDIARY,OF,Teoscar Hernandez,SEA,OF,12,7,16,0,0.209,53,,,,,,
MASS STATE BENINTENDIARY,UT,Aaron Hicks,NYY,OF,4,0,1,0,0.156,11,,,,,,
MASS STATE BENINTENDIARY,UT,Ramon Laureano,OAK,OF,6,2,4,2,0.242,35,,,,,,
MASS STATE BENINTENDIARY,C,Mitch Garver,TEX,C,4,2,6,0,0.263,14,,,,,,
MASS STATE BENINTENDIARY,C,Bo Naylor,CLE,C,0,0,0,0,0,0,,,,,,
MASS STATE BENINTENDIARY,MI,Curtis Mead,TB,"2B,3B",0,0,0,0,0,0,,,,,,
MASS STATE BENINTENDIARY,MI,Tim Anderson,CHW,SS,9,0,4,5,0.298,21,,,,,,
MASS STATE BENINTENDIARY,SS,Brayan Rocchio,CLE,SS,0,0,0,0,0,0,,,,,,
MASS STATE BENINTENDIARY,OF,Kerry Carpenter,DET,OF,8,4,8,0,0.217,38,,,,,,
MASS STATE BENINTENDIARY,OF,Colton Cowser,BAL,OF,0,0,0,0,0,0,,,,,,
MASS STATE BENINTENDIARY,MI,Adalberto Mondesi,BOS,SS,0,0,0,0,0,0,,,,,,
PRESTIGE WORLDWIDE,C,Alejandro Kirk,TOR,C,8,2,10,0,0.27,40,,,,,,
PRESTIGE WORLDWIDE,C,Jose Trevino,NYY,C,6,3,9,0,0.242,28,,,,,,
PRESTIGE WORLDWIDE,1B,Brandon Belt,TOR,1B,5,1,5,0,0.161,23,,,,,,
PRESTIGE WORLDWIDE,2B,Adam Frazier,BAL,"2B,OF",16,3,10,3,0.22,39,,,,,,
PRESTIGE WORLDWIDE,3B,Matt Chapman,TOR,3B,17,5,21,-1,0.379,85,,,,,,
PRESTIGE WORLDWIDE,SS,Jeremy Pena,HOU,SS,21,6,17,5,0.25,63,,,,,,
PRESTIGE WORLDWIDE,CI,Taylor Walls,TB,"2B,3B,SS",18,4,10,5,0.302,46,,,,,,
PRESTIGE WORLDWIDE,MI,Jorge Polanco,MIN,"2B,SS",4,2,9,0,0.333,23,,,,,,
PRESTIGE WORLDWIDE,OF,Harold Ramirez,TB,"1B,OF",12,5,11,0,0.329,53,,,,,,
PRESTIGE WORLDWIDE,OF,Adam Haseley,CHW,OF,4,0,2,0,0.545,9,,,,,,
PRESTIGE WORLDWIDE,OF,Luke Raley,TB,"1B,OF",9,7,15,-1,0.226,45,,,,,,
PRESTIGE WORLDWIDE,OF,Jose Siri,TB,OF,6,2,9,1,0.229,19,,,,,,
PRESTIGE WORLDWIDE,OF,Yordan Alvarez,HOU,OF,15,6,27,0,0.265,62,,,,,,
PRESTIGE WORLDWIDE,UT,Ryan Noda,OAK,"1B,OF",16,3,6,0,0.239,47,,,,,,
PRESTIGE WORLDWIDE,UT,Andrew Vaughn,CHW,"1B,OF",12,3,20,0,0.255,63,,,,,,
PRESTIGE WORLDWIDE,C,Matt Thaiss,LAA,C,6,1,4,0,0.207,17,,,,,,
PRESTIGE WORLDWIDE,OF,Tony Kemp,OAK,"2B,OF",7,1,7,1,0.163,30,,,,,,
PRESTIGE WORLDWIDE,3B,Josh Donaldson,NYY,3B,2,1,1,0,0.125,6,,,,,,
PRESTIGE WORLDWIDE,OF,JJ Bleday,OAK,OF,0,0,0,0,0,0,,,,,,
PRESTIGE WORLDWIDE,OF,Oscar Colas,CHW,OF,8,1,7,1,0.211,27,,,,,,
PRESTIGE WORLDWIDE,OF,Robbie Grossman,TEX,OF,16,3,14,0,0.253,41,,,,,,
PRESTIGE WORLDWIDE,SS,Corey Seager,TEX,SS,7,1,4,0,0.359,30,,,,,,
SMALL TRAPPED IN A BOX,C,Yasmani Grandal,CHW,C,8,3,9,0,0.241,47,,,,,,
SMALL TRAPPED IN A BOX,C,Christian Vazquez,MIN,C,9,0,6,0,0.262,28,,,,,,
SMALL TRAPPED IN A BOX,1B,Jose Abreu,HOU,1B,7,0,13,0,0.235,37,,,,,,
SMALL TRAPPED IN A BOX,2B,Gleyber Torres,NYY,2B,15,4,10,1,0.245,58,,,,,,
SMALL TRAPPED IN A BOX,3B,Alex Bregman,HOU,3B,17,3,13,0,0.218,59,,,,,,
SMALL TRAPPED IN A BOX,SS,Nicky Lopez,KC,"2B,3B,SS",5,0,7,2,0.2,26,,,,,,
SMALL TRAPPED IN A BOX,CI,Anthony Rizzo,NYY,1B,14,5,13,-1,0.274,65,,,,,,
SMALL TRAPPED IN A BOX,MI,Enmanuel Valdez,BOS,"2B,3B",3,1,3,1,0.333,14,,,,,,
SMALL TRAPPED IN A BOX,OF,Mauricio Dubon,HOU,"2B,OF",20,0,6,3,0.317,45,,,,,,
SMALL TRAPPED IN A BOX,OF,Riley Greene,DET,OF,13,2,7,2,0.234,44,,,,,,
SMALL TRAPPED IN A BOX,OF,Travis Jankowski,TEX,OF,10,0,5,4,0.302,29,,,,,,
SMALL TRAPPED IN A BOX,OF,Jarred Kelenic,SEA,OF,14,7,14,5,0.308,65,,,,,,
SMALL TRAPPED IN A BOX,OF,Alex Verdugo,BOS,OF,24,5,18,2,0.311,74,,,,,,
SMALL TRAPPED IN A BOX,UT,Connor Wong,BOS,C,9,1,8,0,0.241,27,,,,,,
SMALL TRAPPED IN A BOX,UT,Kolten Wong,SEA,2B,9,0,3,-1,0.171,22,,,,,,
SMALL TRAPPED IN A BOX,UT,Franchy Cordero,NYY,"1B,OF",6,4,11,0,0.151,23,,,,,,
SMALL TRAPPED IN A BOX,3B,Rylan Bannon,HOU,3B,0,0,0,0,0,0,,,,,,
SMALL TRAPPED IN A BOX,OF,Alex Kirilloff,MIN,OF,0,0,0,0,0,0,,,,,,
SMALL TRAPPED IN A BOX,OF,Austin Meadows,DET,OF,0,0,2,0,0.238,6,,,,,,
SMALL TRAPPED IN A BOX,UT,Dylan Moore,SEA,OF,0,0,0,0,0,0,,,,,,
SMALL TRAPPED IN A BOX,OF,Raimel Tapia,BOS,OF,5,1,4,1,0.231,14,,,,,,
SMALL TRAPPED IN A BOX,UT,Miguel Cabrera,DET,UT,0,0,3,0,0.189,16,,,,,,
SMALL TRAPPED IN A BOX,2B,Trevor Story,BOS,2B,0,0,0,0,0,0,,,,,,
,,,,,,,,,,,,,,,,
BARGELD,P,Griffin Canning,LAA,P,,,,,,,15.1,1,15,0,4.11,1.174
BARGELD,P,Logan Gilbert,SEA,P,,,,,,,27.2,0,34,0,4.23,1.12
BARGELD,P,J.P. Sears,OAK,P,,,,,,,26,-2,27,0,6.23,1.231
BARGELD,P,Matt Brash,SEA,P,,,,,,,13,0,26,1,4.85,1.462
BARGELD,P,Josh Fleming,TB,P,,,,,,,19.1,0,13,0,3.26,1.293
BARGELD,P,Phil Maton,HOU,P,,,,,,,15,0,16,0,0.6,0.267
BARGELD,P,Paul Sewald,SEA,P,,,,,,,15,2,19,7,3,0.867
BARGELD,P,Trevor Stephan,CLE,P,,,,,,,12.1,1,14,1,1.46,1.216
BARGELD,P,Dean Kremer,BAL,P,,,,,,,29.2,1,25,0,6.67,1.584
BARGELD,P,Jordan Lyles,KC,P,,,,,,,35.1,-5,27,0,6.11,1.358
BARGELD,P,Tyler Mahle,MIN,P,,,,,,,25.2,-1,28,0,3.16,1.052
BARGELD,P,Alek Manoah,TOR,P,,,,,,,31.1,0,28,0,4.88,1.628
BARGELD,P,Zach Plesac,CLE,P,,,,,,,21.1,0,14,0,7.59,1.969
BARGELD,P,Ken Waldichuk,OAK,P,,,,,,,31,-2,25,0,7.26,1.645
BARGELD,P,Eli Morgan,CLE,P,,,,,,,12.2,1,15,1,0,1.263
BUTTERFIELD FREAKS,P,Shohei Ohtani,LAA,P,,,,,,,34,4,46,0,1.85,0.824
BUTTERFIELD FREAKS,P,Gerrit Cole,NYY,P,,,,,,,40.2,5,44,0,1.11,0.836
BUTTERFIELD FREAKS,P,Mason Miller,OAK,P,,,,,,,8.1,-1,11,0,6.48,1.32
BUTTERFIELD FREAKS,P,Patrick Sandoval,LAA,P,,,,,,,25.2,1,20,0,3.16,1.286
BUTTERFIELD FREAKS,P,Aroldis Chapman,KC,P,,,,,,,10.1,0,19,1,1.74,0.871
BUTTERFIELD FREAKS,P,Emmanuel Clase,CLE,P,,,,,,,15.1,-1,9,10,1.76,1.043
BUTTERFIELD FREAKS,P,Clarke Schmidt,NYY,P,,,,,,,25,-3,32,0,6.84,1.68
BUTTERFIELD FREAKS,P,Tyler A. Wells,BAL,P,,,,,,,29,0,23,0,2.79,0.724
BUTTERFIELD FREAKS,P,Tyler Anderson,LAA,P,,,,,,,26.2,1,18,0,5.74,1.575
BUTTERFIELD FREAKS,P,Tucker Davidson,LAA,P,,,,,,,15,0,15,1,2.4,1.133
BUTTERFIELD FREAKS,P,Michael Lorenzen,DET,P,,,,,,,14,-1,15,0,7.07,1.643
BUTTERFIELD FREAKS,P,Spencer Turnbull,DET,P,,,,,,,26.1,-3,18,0,6.84,1.671
BUTTERFIELD FREAKS,P,Griffin Jax,MIN,P,,,,,,,12,-1,14,0,3.75,1
DARKROOM SAFETY GROUP,P,Jose Berrios,TOR,P,,,,,,,34,-1,34,0,5.29,1.294
DARKROOM SAFETY GROUP,P,Lucas Giolito,CHW,P,,,,,,,34.2,-1,34,0,4.15,1.183
DARKROOM SAFETY GROUP,P,Jonathan Hernandez,TEX,P,,,,,,,11,-1,13,0,3.27,0.909
DARKROOM SAFETY GROUP,P,Tanner Houck,BOS,P,,,,,,,26,2,24,0,4.5,1.346
DARKROOM SAFETY GROUP,P,James Karinchak,CLE,P,,,,,,,14,-3,18,0,5.79,1.143
DARKROOM SAFETY GROUP,P,Ryan Pressly,HOU,P,,,,,,,12.1,-2,10,3,3.65,0.73
DARKROOM SAFETY GROUP,P,Josh Staumont,KC,P,,,,,,,6.1,0,11,0,2.84,0.789
DARKROOM SAFETY GROUP,P,Caleb Thielbar,MIN,P,,,,,,,9.1,0,10,0,1.93,0.857
DARKROOM SAFETY GROUP,P,Jhony Brito,NYY,P,,,,,,,22.2,-1,17,0,5.56,1.412
DARKROOM SAFETY GROUP,P,Mike Clevinger,CHW,P,,,,,,,29.1,0,26,0,4.6,1.602
DARKROOM SAFETY GROUP,P,Nestor Cortes Jr.,NYY,P,,,,,,,33,1,35,0,4.91,1.182
DARKROOM SAFETY GROUP,P,Lance Lynn,CHW,P,,,,,,,32.2,-4,42,0,7.16,1.592
DARKROOM SAFETY GROUP,P,Kenta Maeda,MIN,P,,,,,,,16,-4,14,0,9,1.625
DARKROOM SAFETY GROUP,P,Triston McKenzie,CLE,P,,,,,,,0,0,0,0,0,0
DARKROOM SAFETY GROUP,P,John Means,BAL,P,,,,,,,0,0,0,0,0,0
HELL TOUPEES,P,Domingo German,NYY,P,,,,,,,34.1,0,39,0,4.46,0.903
HELL TOUPEES,P,George Kirby,SEA,P,,,,,,,30.2,0,24,0,2.93,0.946
HELL TOUPEES,P,Nick Pivetta,BOS,P,,,,,,,24.2,-1,28,0,5.11,1.378
HELL TOUPEES,P,Joe Ryan,MIN,P,,,,,,,32,5,36,0,2.81,0.813
HELL TOUPEES,P,Scott Barlow,KC,P,,,,,,,10.1,-2,13,4,6.1,1.742
HELL TOUPEES,P,Yennier Cano,BAL,P,,,,,,,11,0,12,2,0,0
HELL TOUPEES,P,Clay Holmes,NYY,P,,,,,,,9.2,-2,12,4,3.72,1.448
HELL TOUPEES,P,Jorge Lopez,MIN,P,,,,,,,12,1,10,2,0,0.583
HELL TOUPEES,P,Aaron Civale,CLE,P,,,,,,,12.2,0,8,0,2.84,1.026
HELL TOUPEES,P,Cristian Javier,HOU,P,,,,,,,33.2,1,35,0,3.48,1.129
HELL TOUPEES,P,Drew Rasmussen,TB,P,,,,,,,32,1,34,0,3.66,1.281
HELL TOUPEES,P,Brady Singer,KC,P,,,,,,,29.2,-1,29,0,8.49,1.517
